timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
11-Apr-22 1:56:00 PM AEST,nan,nan,nan,nan,nan,0.31,nan,nan,nan,nan,nan,nan
11-Apr-22 1:56:00 PM AEST,nan,nan,nan,nan,nan,0.40,nan,nan,nan,nan,nan,nan
11-Apr-22 1:58:00 PM AEST,29.2,6552.6,0.0,0.00,1.60,nan,334.60,0.54,10.60,5.00,334.80,700.00
11-Apr-22 1:58:00 PM AEST,29.2,6552.6,0.0,0.00,1.60,nan,277.30,0.33,4.70,3.30,277.00,1255.00
11-Apr-22 1:59:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.46,nan,4.00,17.30,610.80
11-Apr-22 1:59:01 PM AEST,nan,nan,nan,nan,nan,nan,13.40,nan,nan,nan,nan,nan
11-Apr-22 1:59:07 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
11-Apr-22 1:59:15 PM AEST,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11-Apr-22 2:00:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.60,nan,3.70,330.40,346.70
11-Apr-22 2:00:02 PM AEST,nan,nan,nan,nan,nan,nan,336.70,nan,nan,nan,nan,nan
11-Apr-22 2:00:14 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,13.00,nan,nan,nan
11-Apr-22 2:00:30 PM AEST,29.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11-Apr-22 2:01:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.51,nan,4.80,348.40,190.80
11-Apr-22 2:01:03 PM AEST,nan,nan,nan,nan,nan,nan,346.00,nan,nan,nan,nan,nan
11-Apr-22 2:01:21 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan
11-Apr-22 2:01:45 PM AEST,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11-Apr-22 2:01:45 PM AEST,29.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11-Apr-22 2:02:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.99,nan,9.80,338.70,130.00
11-Apr-22 2:02:04 PM AEST,nan,nan,nan,nan,nan,nan,339.10,nan,nan,nan,nan,nan
11-Apr-22 2:02:28 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,15.40,nan,nan,nan
11-Apr-22 2:03:00 PM AEST,28.8,nan,nan,nan,nan,nan,nan,1.38,nan,10.50,312.20,144.20
11-Apr-22 2:03:05 PM AEST,nan,nan,nan,nan,nan,nan,313.80,nan,nan,nan,nan,nan
11-Apr-22 2:03:35 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,21.30,nan,nan,nan
11-Apr-22 2:04:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,1.24,nan,11.10,321.70,176.60
11-Apr-22 2:04:06 PM AEST,nan,nan,nan,nan,nan,nan,321.30,nan,nan,nan,nan,nan
