timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
23-Jun-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.24,nan,nan,nan,nan,nan,nan
23-Jun-25 9:01:00 AM AEST,nan,76.5,20.6,nan,nan,nan,0.60,0.63,nan,3.50,325.10,104.10
23-Jun-25 9:02:00 AM AEST,25.0,76.2,nan,nan,nan,nan,324.60,0.66,10.60,6.10,322.30,105.80
23-Jun-25 9:03:00 AM AEST,nan,76.5,20.5,nan,nan,nan,314.20,0.63,nan,5.90,309.30,180.80
23-Jun-25 9:03:06 AM AEST,24.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:04:00 AM AEST,nan,76.8,nan,nan,nan,nan,319.60,0.45,5.90,4.00,319.40,360.00
23-Jun-25 9:05:00 AM AEST,25.0,77.2,20.6,nan,nan,nan,9.20,0.51,8.30,4.10,3.50,350.00
23-Jun-25 9:06:00 AM AEST,nan,77.3,nan,nan,nan,nan,335.20,0.62,nan,5.50,332.70,337.40
23-Jun-25 9:06:04 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:06:06 AM AEST,25.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:07:00 AM AEST,nan,nan,nan,nan,nan,nan,1.50,0.56,10.60,5.20,4.10,331.70
23-Jun-25 9:07:08 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:07:12 AM AEST,25.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:08:00 AM AEST,nan,77.5,nan,nan,nan,nan,4.40,0.32,4.70,3.20,4.00,339.90
23-Jun-25 9:08:12 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:08:12 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:08:18 AM AEST,25.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:09:00 AM AEST,nan,77.3,nan,nan,nan,nan,332.80,0.62,13.00,5.00,317.30,342.50
23-Jun-25 9:09:16 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:10:00 AM AEST,nan,76.2,nan,nan,nan,nan,322.00,0.90,16.60,7.50,312.20,215.00
23-Jun-25 9:10:20 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:11:00 AM AEST,nan,76.7,nan,nan,nan,nan,289.10,0.44,5.90,3.80,293.30,289.20
23-Jun-25 9:11:24 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:12:00 AM AEST,25.4,76.8,nan,nan,nan,nan,323.00,0.65,10.60,6.40,321.30,329.20
23-Jun-25 9:12:28 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:13:00 AM AEST,nan,76.2,nan,nan,nan,nan,313.80,0.97,15.40,9.00,311.90,255.80
23-Jun-25 9:13:32 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:14:00 AM AEST,nan,nan,nan,nan,nan,nan,321.40,0.47,7.10,4.60,319.60,226.70
23-Jun-25 9:15:00 AM AEST,25.5,76.5,nan,nan,nan,nan,334.70,0.40,nan,3.80,336.70,340.80
23-Jun-25 9:16:00 AM AEST,nan,76.3,21.0,nan,nan,nan,312.90,0.33,5.90,2.90,309.40,237.50
23-Jun-25 9:16:06 AM AEST,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:17:00 AM AEST,nan,76.0,nan,nan,nan,nan,327.90,0.71,14.20,6.00,333.30,224.20
23-Jun-25 9:17:04 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:18:00 AM AEST,nan,75.3,nan,nan,nan,nan,288.80,0.50,8.30,2.10,290.80,254.10
23-Jun-25 9:19:00 AM AEST,nan,75.2,20.9,nan,nan,nan,318.60,0.60,9.50,5.90,317.20,371.70
23-Jun-25 9:20:00 AM AEST,25.7,75.7,nan,nan,nan,nan,352.70,0.57,10.60,5.50,358.70,338.30
23-Jun-25 9:21:00 AM AEST,nan,75.0,21.0,nan,nan,nan,319.70,0.92,14.20,8.20,318.40,227.50
23-Jun-25 9:21:06 AM AEST,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:22:00 AM AEST,nan,74.8,nan,nan,nan,nan,32.30,0.49,9.50,4.10,39.90,215.80
23-Jun-25 9:22:04 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:22:12 AM AEST,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:23:00 AM AEST,nan,75.2,nan,nan,nan,nan,352.30,0.32,4.70,3.20,352.50,240.80
23-Jun-25 9:23:08 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:23:08 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:24:00 AM AEST,nan,75.3,nan,nan,nan,nan,331.30,0.69,10.60,5.80,328.60,258.30
23-Jun-25 9:25:00 AM AEST,25.6,74.5,nan,nan,nan,nan,10.00,0.86,15.40,7.60,9.30,389.10
23-Jun-25 9:26:00 AM AEST,nan,74.7,20.8,nan,nan,nan,334.30,0.60,10.60,5.90,334.90,440.00
23-Jun-25 9:26:06 AM AEST,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:26:06 AM AEST,25.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:27:00 AM AEST,nan,75.3,nan,nan,nan,nan,338.60,0.50,8.30,3.20,346.50,396.60
23-Jun-25 9:27:12 AM AEST,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:28:00 AM AEST,nan,75.0,21.1,nan,nan,nan,19.10,0.38,7.10,3.80,20.30,392.50
23-Jun-25 9:28:18 AM AEST,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:29:00 AM AEST,nan,75.2,nan,nan,nan,nan,16.00,0.37,5.90,3.20,14.40,390.80
23-Jun-25 9:30:00 AM AEST,nan,74.5,21.3,nan,nan,nan,292.40,0.75,15.40,7.10,296.50,389.20
23-Jun-25 9:31:00 AM AEST,nan,74.2,nan,nan,nan,nan,317.80,0.80,10.60,7.90,317.30,387.50
23-Jun-25 9:31:04 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:32:00 AM AEST,25.9,73.5,nan,nan,nan,nan,310.00,0.57,8.30,5.40,305.80,389.10
23-Jun-25 9:32:08 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:33:00 AM AEST,nan,nan,nan,nan,nan,nan,254.10,0.49,7.10,4.30,255.10,393.30
23-Jun-25 9:33:06 AM AEST,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:33:12 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:34:00 AM AEST,nan,74.2,nan,nan,nan,nan,297.30,0.48,8.30,4.70,294.40,394.90
23-Jun-25 9:34:16 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:35:00 AM AEST,26.2,74.7,nan,nan,nan,nan,332.70,0.44,7.10,3.70,336.60,397.50
23-Jun-25 9:35:20 AM AEST,nan,nan,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:36:00 AM AEST,nan,74.2,nan,nan,nan,nan,329.00,0.87,14.20,6.30,336.10,401.70
23-Jun-25 9:36:24 AM AEST,nan,nan,21.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:36:24 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:37:00 AM AEST,nan,73.7,nan,nan,nan,nan,258.80,0.57,8.30,5.50,261.40,405.80
23-Jun-25 9:37:28 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:38:00 AM AEST,nan,73.0,nan,nan,nan,nan,302.70,0.88,16.60,8.00,304.30,407.50
23-Jun-25 9:38:32 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
