"date","Air.Temp","RH","Dew.Point","Last.Hours.Evaporation","Wind.Direction","Current.Wind.Speed","Peak.Wind.Gust","Vector.Wind.Speed","Vector.Wind.Direction","Solar.Radiation","Rainfall","day"
2021-07-20,25.6049019607843,86.931017369727,363.382211538462,28.6613043478261,182.832970451011,0.208514588859416,3.85826972010178,2.00913081650571,171.265373699149,381.569142857143,NA,2021-07-20
2021-07-20 00:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 00:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 00:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 02:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 02:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 03:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 03:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 03:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 04:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 04:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 04:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 05:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 05:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 06:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 06:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 06:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
2021-07-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-20
